Negative_siebert,Neutral_siebert,Positive_siebert,dom_tweet_sent_siebert,total_tweet_count,search_query,coviddomain
0.65,0.0,0.35,Negative,828.0,oxygen,0
0.58,0.0,0.42,Negative,476.0,bill weld,1
0.77,0.0,0.23,Negative,736.0,nhs,0
0.63,0.0,0.37,Negative,836.0,people travelling in 2020,0
0.51,0.0,0.49,Negative,456.0,dave smith,0
0.66,0.0,0.34,Negative,337.0,us citizen,0
0.4,0.0,0.6,Positive,844.0,pornhub,0
0.65,0.0,0.35,Negative,298.0,basement,0
0.71,0.0,0.29,Negative,7.0,india-china standoff,1
0.57,0.0,0.43,Negative,983.0,uganda,0
0.85,0.0,0.15,Negative,423.0,trump transition team,0
0.37,0.0,0.63,Positive,799.0,disinfectant spray,1
0.41,0.0,0.59,Positive,969.0,smirnoff,0
0.83,0.0,0.17,Negative,451.0,john boehner,0
0.67,0.0,0.33,Negative,491.0,toupees,0
0.45,0.0,0.55,Positive,797.0,nostradamus,0
0.88,0.0,0.12,Negative,819.0,ola drivers,0
0.72,0.0,0.28,Negative,138.0,trumps,0
0.66,0.0,0.34,Negative,893.0,janta curfew,0
0.43,0.0,0.57,Positive,824.0,meteorite,0
0.54,0.0,0.46,Negative,545.0,canada,0
0.62,0.0,0.38,Negative,954.0,race car drivers,0
0.4,0.0,0.6,Positive,430.0,ramdas athawale,0
0.34,0.0,0.66,Positive,940.0,dudley,0
0.53,0.0,0.47,Negative,873.0,human,0
0.53,0.0,0.47,Negative,948.0,t-rexes,0
0.76,0.0,0.24,Negative,947.0,bubonic plague,0
0.8,0.0,0.2,Negative,952.0,national emergency,0
0.69,0.0,0.31,Negative,846.0,zika virus,1
0.66,0.0,0.34,Negative,691.0,epidemic,0
0.76,0.0,0.24,Negative,687.0,deep state,0
0.74,0.0,0.26,Negative,302.0,white men,0
0.44,0.0,0.56,Positive,454.0,outdoors party,0
0.58,0.0,0.42,Negative,74.0,politics,0
0.74,0.0,0.26,Negative,1172.0,coronavirus shutdown,1
0.61,0.0,0.39,Negative,413.0,governorship,0
0.39,0.0,0.61,Positive,438.0,little john,0
0.64,0.0,0.36,Negative,483.0,goofy greens,0
0.17,0.0,0.83,Positive,58.0,2020-06-01 00:00:00,0
0.92,0.0,0.08,Negative,12.0,anti-maskers,1
0.77,0.0,0.23,Negative,795.0,pornhub executives,0
0.24,0.0,0.76,Positive,483.0,grpa,0
1.0,0.0,0.0,Negative,2.0,dinesh d souza,0
0.6,0.0,0.4,Negative,944.0,home schooling,0
0.46,0.0,0.54,Positive,910.0,haircut,0
0.7,0.0,0.3,Negative,945.0,sanitizer companies,1
0.58,0.0,0.42,Negative,421.0,grindr,0
0.77,0.0,0.23,Negative,920.0,shortage of toilet paper,0
0.45,0.0,0.55,Positive,1038.0,skype meeting,0
0.34,0.0,0.66,Positive,359.0,blonde,0
0.18,0.0,0.82,Positive,589.0,republican party executive meeting,0
0.55,0.0,0.45,Negative,863.0,covd 19,0
0.87,0.0,0.13,Negative,913.0,muslimist,0
0.62,0.0,0.38,Negative,841.0,customer,0
0.78,0.0,0.22,Negative,341.0,travel ban,0
0.57,0.0,0.43,Negative,917.0,asian americans,0
0.46,0.0,0.54,Positive,432.0,libertarian party presidential debate,0
0.21,0.0,0.79,Positive,217.0,gold,0
0.56,0.0,0.44,Negative,701.0,coronavirus vaccines,1
0.53,0.0,0.47,Negative,978.0,snack hoarding,0
0.72,0.0,0.28,Negative,745.0,self quarantine,1
0.72,0.0,0.28,Negative,451.0,issue voter,0
0.49,0.0,0.51,Positive,729.0,world health organisation (who),0
0.12,0.0,0.88,Positive,851.0,elvive,0
0.27,0.0,0.73,Positive,879.0,architects,0
0.89,0.0,0.11,Negative,482.0,american citizen taxpayers,0
0.6,0.0,0.4,Negative,748.0,black man,0
0.44,0.0,0.56,Positive,371.0,selfies,0
0.46,0.0,0.54,Positive,478.0,arvin vohra,0
0.15,0.0,0.85,Positive,192.0,2022,0
0.43,0.0,0.57,Positive,906.0,air pollution,0
0.86,0.0,0.14,Negative,451.0,solyndra,0
0.87,0.0,0.13,Negative,735.0,anti-vax kid,1
0.52,0.0,0.48,Negative,861.0,anarchy,0
0.5,0.0,0.5,Negative,317.0,harvard,0
0.49,0.0,0.51,Positive,829.0,hr,0
0.34,0.0,0.66,Positive,258.0,chat,0
0.46,0.0,0.54,Positive,426.0,eric july,0
0.78,0.0,0.22,Negative,415.0,trump memes,0
0.49,0.0,0.51,Positive,710.0,the earth,0
0.52,0.0,0.48,Negative,1221.0,stores in china,1
0.68,0.0,0.32,Negative,902.0,word health organisation,0
0.63,0.0,0.37,Negative,155.0,supreme court,0
0.41,0.0,0.59,Positive,360.0,thanksgiving,0
0.48,0.0,0.52,Positive,927.0,james woods,0
0.62,0.0,0.38,Negative,372.0,jew,0
0.73,0.0,0.27,Negative,476.0,green party activist,0
0.59,0.0,0.41,Negative,927.0,anti-virus,1
0.47,0.0,0.53,Positive,905.0,cheetos,0
0.47,0.0,0.53,Positive,911.0,farmers,0
0.7,0.0,0.3,Negative,938.0,unemployement,0
0.75,0.0,0.25,Negative,464.0,ancaps,0
0.74,0.0,0.26,Negative,416.0,conservative women,0
0.71,0.0,0.29,Negative,406.0,caucus,0
0.57,0.0,0.43,Negative,14.0,alice sawka,0
0.22,0.0,0.78,Positive,464.0,vancoouver,0
0.33,0.0,0.67,Positive,6.0,lon spradlin,0
0.16,0.0,0.84,Positive,900.0,jewellery,0
0.51,0.0,0.49,Negative,944.0,hoop skirts,0
0.46,0.0,0.54,Positive,335.0,bottles,0
0.5,0.0,0.5,Negative,4.0,the milennial grind,0
0.52,0.0,0.48,Negative,550.0,cities,0
0.65,0.0,0.35,Negative,780.0,carole baskins husband,0
0.45,0.0,0.55,Positive,877.0,the onion,0
0.63,0.0,0.37,Negative,520.0,china,1
0.82,0.0,0.18,Negative,480.0,mit romney,0
0.39,0.0,0.61,Positive,292.0,2010,0
0.23,0.0,0.77,Positive,878.0,quarante,1
0.8,0.0,0.2,Negative,604.0,police officer,0
0.59,0.0,0.41,Negative,203.0,economics,0
0.61,0.0,0.39,Negative,564.0,covid 19,1
0.71,0.0,0.29,Negative,912.0,hazmat suit,0
0.84,0.0,0.16,Negative,416.0,anthony weiner,0
0.7,0.0,0.3,Negative,447.0,libertarian party of texas,0
0.72,0.0,0.28,Negative,233.0,muslims,0
0.78,0.0,0.22,Negative,901.0,nancy peloci,0
0.19,0.0,0.81,Positive,448.0,emmanuel baptist church,0
0.84,0.0,0.16,Negative,917.0,xenophobia,0
0.76,0.0,0.24,Negative,376.0,radical right,0
0.66,0.0,0.34,Negative,268.0,rat,0
0.74,0.0,0.26,Negative,474.0,federal government palliative,0
0.55,0.0,0.45,Negative,410.0,colin powell,0
0.54,0.0,0.46,Negative,963.0,ponos,0
0.54,0.0,0.46,Negative,771.0,england,0
0.37,0.0,0.63,Positive,866.0,pune,0
0.47,0.0,0.53,Positive,172.0,queen elizabeths son,0
0.11,0.0,0.89,Positive,321.0,sensible prepper,0
0.29,0.0,0.71,Positive,103.0,onnline school,0
0.44,0.0,0.56,Positive,597.0,spanish,0
0.46,0.0,0.54,Positive,242.0,barcak obama,0
0.67,0.0,0.33,Negative,368.0,bank accounts,0
0.55,0.0,0.45,Negative,321.0,bleach,0
0.47,0.0,0.53,Positive,474.0,pee pads,0
0.9,0.0,0.1,Negative,270.0,taxpayers,0
0.66,0.0,0.34,Negative,746.0,slaves,0
0.73,0.0,0.27,Negative,11.0,monsato workers,0
0.16,0.0,0.84,Positive,172.0,new year,0
0.18,0.0,0.82,Positive,522.0,music,0
1.0,0.0,0.0,Negative,3.0,people with normal fever vs people with coronavirus,1
0.21,0.0,0.79,Positive,447.0,mixtape,0
0.38,0.0,0.62,Positive,861.0,queen elizabeth ii,0
0.4,0.0,0.6,Positive,362.0,gen x,0
0.55,0.0,0.45,Negative,970.0,pre corona,1
0.55,0.0,0.45,Negative,721.0,antarctica,0
0.52,0.0,0.48,Negative,844.0,make america great again maga,0
0.55,0.0,0.45,Negative,715.0,scotland,0
0.46,0.0,0.54,Positive,946.0,zoo keepers,0
0.83,0.0,0.17,Negative,880.0,globalist elites,0
0.63,0.0,0.37,Negative,395.0,nixon,0
0.47,0.0,0.53,Positive,479.0,voluntaryist,0
0.43,0.0,0.57,Positive,54.0,normal people vs people with coronavirus,1
0.51,0.0,0.49,Negative,406.0,reza aslan,0
0.74,0.0,0.26,Negative,901.0,syrians,0
0.53,0.0,0.47,Negative,327.0,soda,0
0.32,0.0,0.68,Positive,848.0,zoom meeting,0
0.57,0.0,0.43,Negative,488.0,siân berry,0
0.62,0.0,0.38,Negative,790.0,billionaire,1
0.41,0.0,0.59,Positive,838.0,soup,0
0.47,0.0,0.53,Positive,348.0,wheel,0
0.73,0.0,0.27,Negative,81.0,democrats’s primary,0
0.78,0.0,0.22,Negative,943.0,paint chips,0
0.36,0.0,0.64,Positive,450.0,albama,0
0.43,0.0,0.57,Positive,900.0,thakur,0
0.73,0.0,0.27,Negative,428.0,usa elections,0
0.7,0.0,0.3,Negative,10.0,thanos snap sanitizer,1
0.72,0.0,0.28,Negative,754.0,reverbpress,0
0.79,0.0,0.21,Negative,478.0,ukip politician,0
0.78,0.0,0.22,Negative,705.0,people with the flu,1
0.69,0.0,0.31,Negative,387.0,healthcare plan,0
0.71,0.0,0.29,Negative,897.0,george bush,0
0.42,0.0,0.58,Positive,384.0,lucifer,0
0.66,0.0,0.34,Negative,973.0,sports commentators,0
0.6,0.0,0.4,Negative,20.0,denmark ,0
0.68,0.0,0.32,Negative,904.0,primary election,0
0.75,0.0,0.25,Negative,481.0,caucus results,0
0.68,0.0,0.32,Negative,701.0,governor,0
0.4,0.0,0.6,Positive,1152.0,long distance,0
0.34,0.0,0.66,Positive,240.0,vacation,0
0.54,0.0,0.46,Negative,370.0,state of union,0
0.45,0.0,0.55,Positive,1215.0,covid19 vaccine,1
0.83,0.0,0.17,Negative,719.0,chinese virus,1
0.15,0.0,0.85,Positive,826.0,travel bloggers,0
0.61,0.0,0.39,Negative,355.0,wifi,0
0.77,0.0,0.23,Negative,243.0,rich people,0
0.67,0.0,0.33,Negative,396.0,dictionary,0
0.8,0.0,0.2,Negative,865.0,donald trump presidency,0
0.5,0.0,0.5,Negative,406.0,west nile,0
0.45,0.0,0.55,Positive,935.0,chinese food place,1
0.66,0.0,0.34,Negative,883.0,minnesota dfl party,0
0.53,0.0,0.47,Negative,560.0,women,0
0.41,0.0,0.59,Positive,399.0,the one ring,0
0.51,0.0,0.49,Negative,821.0,libraries,0
0.47,0.0,0.53,Positive,931.0,human civilisation,0
0.75,0.0,0.25,Negative,497.0,constitution,0
0.66,0.0,0.34,Negative,746.0,jewish,0
0.35,0.0,0.65,Positive,970.0,corona extra drink,1
0.83,0.0,0.17,Negative,549.0,judge jeannie pirro,0
0.87,0.0,0.13,Negative,929.0,anti maskers,1
0.72,0.0,0.28,Negative,290.0,coronavirus officers,1
0.39,0.0,0.61,Positive,438.0,national anthem,0
0.45,0.0,0.55,Positive,678.0,google,0
0.67,0.0,0.33,Negative,917.0,botox,0
0.38,0.0,0.62,Positive,213.0,simpsons,0
0.47,0.0,0.53,Positive,605.0,prime minister pm,0
0.72,0.0,0.28,Negative,377.0,products made in china,1
0.44,0.0,0.56,Positive,499.0,travel,0
0.77,0.0,0.23,Negative,777.0,chinese government,1
0.7,0.0,0.3,Negative,838.0,government employees,0
0.79,0.0,0.21,Negative,450.0,facepalm,0
0.34,0.0,0.66,Positive,227.0,sun,0
0.79,0.0,0.21,Negative,688.0,protests,0
0.51,0.0,0.49,Negative,214.0,fly,0
0.49,0.0,0.51,Positive,895.0,goat,0
0.34,0.0,0.66,Positive,963.0,joel patrick,0
0.51,0.0,0.49,Negative,421.0,jonathan bartley,0
0.79,0.0,0.21,Negative,828.0,donald trump supporter,0
0.34,0.0,0.66,Positive,794.0,logos,0
0.32,0.0,0.68,Positive,453.0,william bradley,1
0.71,0.0,0.29,Negative,951.0,stoplights,0
0.67,0.0,0.33,Negative,712.0,health care workers,0
0.92,0.0,0.08,Negative,428.0,teenage trump supporters,0
0.75,0.0,0.25,Negative,814.0,us citizens,0
0.79,0.0,0.21,Negative,931.0,rothschilds,0
0.54,0.0,0.46,Negative,418.0,lyndon b johnson,0
0.36,0.0,0.64,Positive,877.0,amma,0
1.0,0.0,0.0,Negative,1.0,bowing alley shoe spray,0
0.95,0.0,0.05,Negative,346.0,anti american commie democrat,0
0.81,0.0,0.19,Negative,826.0,2016 election,0
0.76,0.0,0.24,Negative,634.0,borders,0
0.48,0.0,0.52,Positive,682.0,milk,0
0.87,0.0,0.13,Negative,937.0,trump administration,0
0.73,0.0,0.27,Negative,873.0,virologist,1
0.65,0.0,0.35,Negative,1129.0,nbc news,0
0.37,0.0,0.63,Positive,892.0,fishing,0
0.82,0.0,0.18,Negative,867.0,trump face mask,1
0.63,0.0,0.37,Negative,420.0,countries,0
0.63,0.0,0.37,Negative,936.0,donald reagan,0
0.86,0.0,0.14,Negative,891.0,republican platform,0
0.48,0.0,0.52,Positive,381.0,yale,0
0.53,0.0,0.47,Negative,358.0,little girls,0
0.38,0.0,0.62,Positive,829.0,logo,0
0.75,0.0,0.25,Negative,342.0,rape victims,0
0.46,0.0,0.54,Positive,949.0,teachers and staff,0
0.84,0.0,0.16,Negative,931.0,religious extremist,0
0.73,0.0,0.27,Negative,514.0,blue cadillac ad,1
0.38,0.0,0.62,Positive,238.0,oregon,0
0.66,0.0,0.34,Negative,910.0,female nurse,0
0.79,0.0,0.21,Negative,947.0,tara reade,0
0.7,0.0,0.3,Negative,791.0,stock market crash,0
0.81,0.0,0.19,Negative,957.0,spygate,0
0.0,0.0,1.0,Positive,4.0,rew pollock,0
0.69,0.0,0.31,Negative,244.0,republican president,0
0.56,0.0,0.44,Negative,435.0,local train,0
0.4,0.0,0.6,Positive,853.0,andy beshear,0
0.84,0.0,0.16,Negative,637.0,criminals,0
0.18,0.0,0.82,Positive,823.0,high five,0
0.44,0.0,0.56,Positive,880.0,president's day,0
0.62,0.0,0.38,Negative,924.0,reality tv actor,0
0.56,0.0,0.44,Negative,952.0,power school,0
0.64,0.0,0.36,Negative,363.0,2nd amendment,0
0.73,0.0,0.27,Negative,736.0,deaths,0
0.3,0.0,0.7,Positive,839.0,team meeting,0
0.71,0.0,0.29,Negative,817.0,washing hands,0
0.26,0.0,0.74,Positive,809.0,alzheimers,0
0.6,0.0,0.4,Negative,151.0,debt,0
0.25,0.0,0.75,Positive,109.0,windmil cancer,0
0.47,0.0,0.53,Positive,563.0,facebook,0
0.55,0.0,0.45,Negative,652.0,social media,0
0.19,0.0,0.81,Positive,452.0,zoom owners,0
0.43,0.0,0.57,Positive,800.0,son,0
0.44,0.0,0.56,Positive,679.0,girls,0
0.76,0.0,0.24,Negative,364.0,sex offenders,0
0.67,0.0,0.33,Negative,955.0,contact avoidance,0
0.22,0.0,0.78,Positive,814.0,diy mask,1
0.57,0.0,0.43,Negative,826.0,travelling,0
1.0,0.0,0.0,Negative,1.0,centre of disease control cdc,0
0.41,0.0,0.59,Positive,391.0,stickman,0
0.61,0.0,0.39,Negative,934.0,mexicans,0
0.56,0.0,0.44,Negative,690.0,united nations un ,0
0.31,0.0,0.69,Positive,70.0,ontario ndc,0
0.43,0.0,0.57,Positive,1079.0,global media,0
0.06,0.0,0.94,Positive,273.0,st catherine episcopal church,0
0.46,0.0,0.54,Positive,755.0,covid19 memes,1
0.71,0.0,0.28,Negative,400.0,governor sarah palin,0
0.7,0.0,0.3,Negative,905.0,swiggy,0
0.33,0.0,0.67,Positive,913.0,homies,0
0.44,0.0,0.56,Positive,138.0,grren party,0
0.63,0.0,0.37,Negative,956.0,stacy abrams,0
0.31,0.0,0.69,Positive,487.0,ecologic,0
0.45,0.0,0.55,Positive,241.0,disney,0
0.52,0.0,0.48,Negative,451.0,willy wonka,1
0.35,0.0,0.65,Positive,950.0,jumanji,0
0.52,0.0,0.48,Negative,904.0,spouse,0
0.54,0.0,0.46,Negative,626.0,australia on fire,0
0.4,0.0,0.6,Positive,974.0,horror movie,0
0.51,0.0,0.49,Negative,1094.0,fyre festival,0
0.31,0.0,0.69,Positive,956.0,club teams,0
0.4,0.0,0.6,Positive,853.0,lemonade,0
0.54,0.0,0.46,Negative,935.0,tiwan,0
0.54,0.0,0.46,Negative,792.0,fishermen,0
0.42,0.0,0.58,Positive,472.0,pickle party,0
0.41,0.0,0.59,Positive,812.0,clans,0
0.22,0.0,0.78,Positive,767.0,t shirt,0
0.29,0.0,0.71,Positive,838.0,queen,0
0.58,0.0,0.42,Negative,896.0,thanos,0
0.74,0.0,0.26,Negative,548.0,bonnie henry,0
0.47,0.0,0.53,Positive,363.0,family group chat,0
0.56,0.0,0.44,Negative,421.0,democratic district,0
0.54,0.0,0.46,Negative,189.0,joe descartes,0
0.41,0.0,0.59,Positive,890.0,fencing,0
0.65,0.0,0.35,Negative,430.0,joe biden manager,0
0.55,0.0,0.45,Negative,282.0,smoking,0
0.56,0.0,0.44,Negative,34.0,john f kennedy,0
0.43,0.0,0.57,Positive,118.0,levitatus,0
0.73,0.0,0.27,Negative,933.0,hantavirus,1
0.74,0.0,0.26,Negative,235.0,parliament,0
0.37,0.0,0.63,Positive,944.0,sunscreen,0
0.42,0.0,0.58,Positive,299.0,tulsi,0
0.56,0.0,0.44,Negative,357.0,drive thru,0
0.52,0.0,0.48,Negative,835.0,student,0
0.64,0.0,0.36,Negative,816.0,brain,0
0.65,0.0,0.35,Negative,900.0,chicken pox,0
0.31,0.0,0.69,Positive,785.0,chef,0
0.44,0.0,0.56,Positive,850.0,class of 2020,0
0.48,0.0,0.52,Positive,940.0,lube,0
0.48,0.0,0.52,Positive,280.0,centres for disease control cdc ,0
0.55,0.0,0.45,Negative,957.0,flying cars,0
0.88,0.0,0.12,Negative,962.0,trumptard,0
0.74,0.0,0.26,Negative,957.0,jounralists,0
0.53,0.0,0.47,Negative,19.0,dr grayfang,0
0.31,0.0,0.69,Positive,435.0,heroine,0
0.18,0.0,0.82,Positive,39.0,robert b. weide,0
0.53,0.0,0.47,Negative,1188.0,agra,0
0.64,0.0,0.36,Negative,459.0,stacey abram,0
0.62,0.0,0.38,Negative,220.0,homeless,0
0.44,0.0,0.56,Positive,907.0,genz,0
0.55,0.0,0.45,Negative,473.0,lockdwon,0
0.61,0.0,0.39,Negative,444.0,mr putin,0
0.19,0.0,0.81,Positive,788.0,architecture,0
0.73,0.0,0.27,Negative,369.0,covid vaccine,1
0.73,0.0,0.27,Negative,689.0,political facebook post,0
0.61,0.0,0.39,Negative,828.0,sars,0
0.37,0.0,0.63,Positive,850.0,milkshakes,0
0.3,0.0,0.7,Positive,801.0,castle,0
0.34,0.0,0.66,Positive,939.0,fiji,0
0.67,0.0,0.33,Negative,923.0,jaws mayor,0
0.24,0.0,0.76,Positive,841.0,simran,0
0.64,0.0,0.36,Negative,301.0,dr ben carson,0
0.9,0.0,0.1,Negative,422.0,scaremongering,0
0.48,0.0,0.52,Positive,1121.0,tiger king,0
0.69,0.0,0.31,Negative,336.0,ministers,0
0.28,0.0,0.72,Positive,442.0,ruby tuesday,0
0.65,0.0,0.35,Negative,925.0,clorox,0
0.34,0.0,0.66,Positive,923.0,tofu,0
0.27,0.0,0.73,Positive,958.0,electrolytes,0
0.62,0.0,0.38,Negative,665.0,vehicle,0
0.83,0.0,0.17,Negative,361.0,hillar clinton,1
0.74,0.0,0.26,Negative,656.0,brexit,0
0.33,0.0,0.67,Positive,419.0,united states navy sea,0
0.75,0.0,0.25,Negative,885.0,fascis,0
0.85,0.0,0.15,Negative,976.0,brexit mandates,0
0.68,0.0,0.32,Negative,629.0,maga,0
0.44,0.0,0.56,Positive,1213.0,osun,0
0.41,0.0,0.59,Positive,891.0,candle manufacturers,0
0.58,0.0,0.42,Negative,918.0,flotus,0
0.31,0.0,0.69,Positive,452.0,mars,0
0.82,0.0,0.18,Negative,632.0,wuhan people,1
0.64,0.0,0.36,Negative,588.0,the wall,0
0.5,0.0,0.5,Negative,925.0,the western journal,0
0.62,0.0,0.38,Negative,324.0,cdc (centre for disease control),0
0.79,0.0,0.21,Negative,792.0,hitler,0
0.92,0.0,0.08,Negative,12.0,nypo cop,0
0.07,0.0,0.93,Positive,1105.0,videochat,0
0.37,0.0,0.63,Positive,226.0,libertarian party of north carolina,0
0.68,0.0,0.32,Negative,776.0,corona virus,1
0.79,0.0,0.21,Negative,842.0,matt gaetz,0
0.55,0.0,0.45,Negative,397.0,cat food,0
0.6,0.0,0.4,Negative,431.0,milton friedman,0
0.65,0.0,0.35,Negative,867.0,black market,0
0.58,0.0,0.42,Negative,953.0,plastic sheeting,0
0.77,0.0,0.23,Negative,420.0,sharia,0
0.42,0.0,0.58,Positive,459.0,televisa,0
0.53,0.0,0.47,Negative,914.0,train,0
0.7,0.0,0.3,Negative,810.0,cough,0
0.57,0.0,0.43,Negative,265.0,fish,0
0.27,0.0,0.73,Positive,428.0,lp news,0
0.84,0.0,0.16,Negative,413.0,third party vote,0
0.38,0.0,0.62,Positive,963.0,joey,0
0.59,0.0,0.41,Negative,907.0,emojis,0
0.75,0.0,0.25,Negative,372.0,poll workers,0
0.39,0.0,0.61,Positive,439.0,green vehicles,0
0.61,0.0,0.39,Negative,888.0,united states of america,0
0.43,0.0,0.57,Positive,807.0,bed,0
0.56,0.0,0.44,Negative,324.0,electricity,0
0.0,0.0,1.0,Positive,6.0,wu hound,0
0.85,0.0,0.15,Negative,422.0,mass hysteria,0
0.35,0.0,0.65,Positive,409.0,washington wa,0
0.68,0.0,0.32,Negative,862.0,flight,0
0.68,0.0,0.32,Negative,325.0,constitution of united states,0
0.46,0.0,0.54,Positive,483.0,building names,0
0.38,0.0,0.62,Positive,957.0,ps4,0
0.7,0.0,0.3,Negative,941.0,toxic relationship,0
0.27,0.0,0.73,Positive,424.0,marianne williamson,1
0.46,0.0,0.54,Positive,810.0,batman,0
0.72,0.0,0.28,Negative,972.0,american labour,0
0.24,0.0,0.76,Positive,486.0,roadrunners,0
0.65,0.0,0.35,Negative,432.0,cory booker,0
0.77,0.0,0.23,Negative,241.0,billionaires,1
0.67,0.0,0.33,Negative,890.0,health officials,0
0.49,0.0,0.51,Positive,308.0,hiv/aids,0
0.51,0.0,0.49,Negative,526.0,ontario,0
0.5,0.0,0.5,Negative,875.0,commerical,0
0.4,0.0,0.6,Positive,888.0,holiday trip,0
0.29,0.0,0.71,Positive,271.0,hop scotch club,0
0.25,0.0,0.75,Positive,943.0,james bradley,0
0.56,0.0,0.44,Negative,869.0,ration,0
0.85,0.0,0.15,Negative,413.0,maxine waters,0
0.01,0.0,0.99,Positive,145.0,fun spot america theme parks,0
0.33,0.0,0.67,Positive,477.0,victoria's secret,0
0.82,0.0,0.18,Negative,604.0,presidential debate 2020,0
0.83,0.0,0.17,Negative,980.0,kelly anne conway,0
0.58,0.0,0.42,Negative,850.0,hand sanitizer,1
0.53,0.0,0.47,Negative,51.0,vice presidential memes,0
0.2,0.0,0.8,Positive,985.0,instagram,0
0.27,0.0,0.73,Positive,931.0,mario party,0
0.83,0.0,0.17,Negative,879.0,general barr,0
0.71,0.0,0.29,Negative,7.0,knuckle swich,0
0.69,0.0,0.31,Negative,459.0,h1n1 vs covid19,1
0.48,0.0,0.52,Positive,896.0,starbucks,0
0.35,0.0,0.65,Positive,378.0,greens,0
0.37,0.0,0.63,Positive,394.0,founders,0
0.87,0.0,0.13,Negative,314.0,democratic presidential circus,0
0.53,0.0,0.47,Negative,436.0,madame tussauds,0
0.41,0.0,0.59,Positive,389.0,whole world,0
0.63,0.0,0.37,Negative,619.0,pollution,0
0.82,0.0,0.18,Negative,577.0,republican,0
0.4,0.0,0.6,Positive,488.0,american fries,0
0.43,0.0,0.57,Positive,870.0,ufc,0
0.76,0.0,0.24,Negative,337.0,analyst,0
0.47,0.0,0.53,Positive,450.0,tim schaffer,0
0.48,0.0,0.52,Positive,965.0,waffle house,0
0.83,0.0,0.17,Negative,951.0,chain link fence,0
0.09,0.0,0.91,Positive,411.0,henry david thoreau,0
0.49,0.0,0.51,Positive,475.0,quarantine barbie,1
0.84,0.0,0.16,Negative,769.0,democrat party,0
0.44,0.0,0.56,Positive,307.0,cemetery,0
0.29,0.0,0.71,Positive,934.0,instagram celeb,0
0.48,0.0,0.52,Positive,537.0,sarah paulin,0
0.75,0.0,0.25,Negative,310.0,blacks for donald trump,0
0.38,0.0,0.62,Positive,207.0,code,0
0.48,0.0,0.52,Positive,459.0,antman,0
0.23,0.0,0.77,Positive,437.0,the tomwoods show,0
0.45,0.0,0.55,Positive,534.0,wuhan football team,1
0.73,0.0,0.27,Negative,934.0,speeding tickets,0
0.66,0.0,0.34,Negative,230.0,daily wire,0
0.56,0.0,0.44,Negative,395.0,gays,0
0.36,0.0,0.64,Positive,658.0,mexico,0
0.35,0.0,0.65,Positive,469.0,bipartisan moment,0
0.57,0.0,0.43,Negative,824.0,jehovahs witnesses,0
0.32,0.0,0.68,Positive,844.0,dwayne johnson,0
0.67,0.0,0.33,Negative,861.0, presidential debate,0
0.7,0.0,0.3,Negative,912.0,chinese woman,1
0.23,0.0,0.77,Positive,661.0,moon,0
0.25,0.0,0.75,Positive,815.0,las vegas,0
0.28,0.0,0.72,Positive,973.0,biohazard 8,0
0.62,0.0,0.38,Negative,844.0,penis,0
0.43,0.0,0.57,Positive,839.0,hot water,0
0.38,0.0,0.62,Positive,478.0,john hospers,0
0.48,0.0,0.52,Positive,459.0,florida,0
0.75,0.0,0.25,Negative,666.0,north korea,0
0.27,0.0,0.73,Positive,367.0,webb,0
0.49,0.0,0.51,Positive,934.0,rahul,0
0.68,0.0,0.32,Negative,964.0,anglo americans,0
0.45,0.0,0.55,Positive,463.0,non-aggression principles,0
0.86,0.0,0.14,Negative,229.0,biden campaign,0
0.31,0.0,0.69,Positive,885.0,obi van kenobi,0
0.62,0.0,0.38,Negative,115.0,joe bdien,0
0.55,0.0,0.45,Negative,875.0,pilots,0
0.71,0.0,0.29,Negative,437.0,irritable bowl syndrome,0
0.52,0.0,0.48,Negative,796.0,walking dead,0
0.68,0.0,0.32,Negative,672.0,pfizer,1
0.57,0.0,0.43,Negative,775.0,climate change,0
0.7,0.0,0.3,Negative,554.0,other countries,0
0.86,0.0,0.14,Negative,957.0,mysogynist,0
0.54,0.0,0.46,Negative,450.0,covid conversations,1
0.53,0.0,0.47,Negative,399.0,subpoena coladas,0
0.64,0.0,0.36,Negative,467.0,local post office,0
0.35,0.0,0.65,Positive,479.0,slumdog millionaire,1
0.6,0.0,0.4,Negative,960.0,sauron,0
0.41,0.0,0.59,Positive,268.0,cheese,0
0.0,0.0,1.0,Positive,1.0,corona safe beer,1
1.0,0.0,0.0,Negative,1.0,sapnish influenza,1
0.56,0.0,0.44,Negative,330.0,libertarian party of nevada,0
0.28,0.0,0.72,Positive,426.0,abby phillip,1
0.83,0.0,0.17,Negative,406.0,rick perry,0
0.47,0.0,0.53,Positive,276.0,roads,0
0.26,0.0,0.74,Positive,472.0,pod member,0
0.49,0.0,0.51,Positive,850.0,paris climate agreement,0
0.35,0.0,0.65,Positive,1048.0,united nations (un),0
0.44,0.0,0.56,Positive,464.0,bike helmet,0
0.42,0.0,0.58,Positive,165.0,city,0
0.41,0.0,0.59,Positive,935.0,facetime,0
0.58,0.0,0.42,Negative,853.0,daycare,0
0.44,0.0,0.56,Positive,448.0,demolay,0
0.5,0.0,0.5,Negative,350.0,brighton,0
0.4,0.0,0.6,Positive,951.0,gondor,0
0.67,0.0,0.33,Negative,715.0,civil war,0
0.41,0.0,0.59,Positive,244.0,avengers,0
0.14,0.0,0.86,Positive,356.0,corvair club,0
