Negative_siebert,Neutral_siebert,Positive_siebert,dom_tweet_sent_siebert,total_tweet_count,search_query,coviddomain
0.39,0.0,0.61,Positive,924.0,online meeting,0
0.78,0.0,0.22,Negative,933.0,chinese dude,1
0.9,0.0,0.1,Negative,470.0,tax cheat,0
0.57,0.0,0.43,Negative,566.0,centre for disease control (cdc),0
0.48,0.0,0.52,Positive,642.0,chipotle,0
0.18,0.0,0.82,Positive,897.0,full moon,0
0.51,0.0,0.49,Negative,655.0,stage,0
0.87,0.0,0.13,Negative,445.0,ponzi scheme,0
0.9,0.0,0.1,Negative,302.0,white supremacist,0
0.65,0.0,0.35,Negative,794.0,jill biden,1
0.77,0.0,0.23,Negative,162.0,policies,0
0.35,0.0,0.65,Positive,26.0,national broadcast network nbn ,0
0.61,0.0,0.39,Negative,927.0,patient with fever,1
0.82,0.0,0.18,Negative,465.0,vbnmw crowd,0
0.3,0.0,0.7,Positive,871.0,oscar wilde,0
0.37,0.0,0.63,Positive,829.0,abs,0
0.65,0.0,0.35,Negative,942.0,londoners,0
0.39,0.0,0.61,Positive,857.0,cadillac,1
0.59,0.0,0.41,Negative,979.0,coronavirus vaccine,1
0.24,0.0,0.76,Positive,265.0,micheal j kelly,0
0.68,0.0,0.32,Negative,1033.0,world war 3 ww3 ,0
0.31,0.0,0.69,Positive,930.0,the simpsons,0
0.45,0.0,0.55,Positive,893.0,donut,0
0.38,0.0,0.62,Positive,983.0,fruit,0
0.38,0.0,0.62,Positive,13.0,mexican druglord pablo escobar,0
0.43,0.0,0.57,Positive,612.0,me,0
0.41,0.0,0.59,Positive,829.0,harry potter,0
0.71,0.0,0.29,Negative,326.0,margaret thatcher,0
0.83,0.0,0.17,Negative,1043.0,anti vaxxers parents,1
0.57,0.0,0.43,Negative,895.0,nigga,0
0.35,0.0,0.65,Positive,842.0,goa,0
0.44,0.0,0.56,Positive,441.0,life jacket,0
0.3,0.0,0.7,Positive,917.0,fist bump,0
0.52,0.0,0.48,Negative,1133.0,sock market,0
0.68,0.0,0.32,Negative,429.0,political memes,0
0.66,0.0,0.34,Negative,512.0,tim kaine,0
0.53,0.0,0.47,Negative,431.0,boxers,0
0.49,0.0,0.51,Positive,847.0,bill & melinda gates foundation,1
0.62,0.0,0.38,Negative,443.0,bumper sticker,0
0.8,0.0,0.2,Negative,490.0,billionnaires,1
0.55,0.0,0.45,Negative,1184.0,india china standoff,1
0.31,0.0,0.69,Positive,888.0,sweaters,0
0.34,0.0,0.66,Positive,445.0,stormy waters,0
0.63,0.0,0.37,Negative,574.0,prime minister,0
0.53,0.0,0.47,Negative,820.0,corn,0
0.3,0.0,0.7,Positive,379.0,martin luther king,0
0.93,0.0,0.07,Negative,68.0,right-wing,0
0.48,0.0,0.52,Positive,901.0,dinosaur,0
0.61,0.0,0.39,Negative,351.0,mexican tap water,0
0.44,0.0,0.56,Positive,457.0,univision,0
0.24,0.0,0.76,Positive,862.0,breitling watches,0
0.63,0.0,0.37,Negative,795.0,pig,0
0.0,0.0,1.0,Positive,8.0,rew pollack,0
0.73,0.0,0.27,Negative,795.0,oil war,0
0.28,0.0,0.72,Positive,454.0,libertarian party of illinois,1
0.77,0.0,0.23,Negative,920.0,donals trump,0
0.37,0.0,0.63,Positive,478.0,caddyshack,0
0.81,0.0,0.19,Negative,190.0,republican american,0
1.0,0.0,0.0,Negative,1.0,baba ramdev,0
0.76,0.0,0.24,Negative,841.0,deanna lorraine,0
0.68,0.0,0.32,Negative,935.0,lebanese govt,0
0.42,0.0,0.58,Positive,764.0,pm modi,0
0.25,0.0,0.75,Positive,807.0,high temperatures,0
0.9,0.0,0.1,Negative,576.0,communist voting machine,1
0.29,0.0,0.71,Positive,892.0,indian premiere league,0
0.37,0.0,0.63,Positive,354.0,christmas party,0
0.55,0.0,0.45,Negative,878.0,donald trump fortnite,0
0.45,0.0,0.55,Positive,801.0,working from home,0
0.51,0.0,0.49,Negative,806.0,india,0
0.41,0.0,0.59,Positive,354.0,bomb,0
0.61,0.0,0.39,Negative,529.0,who,0
0.83,0.0,0.17,Negative,332.0,minors,0
0.44,0.0,0.56,Positive,947.0,jägerbomb,0
0.27,0.0,0.73,Positive,868.0,broncolin,0
0.17,0.0,0.83,Positive,950.0,beauty the beast,0
0.61,0.0,0.39,Negative,931.0,state representative,0
0.17,0.0,0.83,Positive,416.0,st patricks day,0
0.62,0.0,0.38,Negative,180.0,maths,0
0.76,0.0,0.24,Negative,287.0,electoral college,0
0.59,0.0,0.41,Negative,92.0,us people,0
0.8,0.0,0.2,Negative,664.0,cnn,0
0.2,0.0,0.8,Positive,901.0,govinda,0
0.72,0.0,0.28,Negative,963.0,political meme,0
0.7,0.0,0.3,Negative,447.0,rschooley,0
0.47,0.0,0.53,Positive,1117.0,work remotely,0
0.4,0.0,0.6,Positive,436.0,harrisburg,0
0.64,0.0,0.36,Negative,404.0,commuters,0
0.77,0.0,0.23,Negative,399.0,democrat debate,0
0.49,0.0,0.51,Positive,171.0,harry,0
0.32,0.0,0.68,Positive,373.0,green revolution,0
0.64,0.0,0.36,Negative,937.0,qurantine,0
0.52,0.0,0.48,Negative,145.0,rich,0
0.48,0.0,0.52,Positive,947.0,grocery shop,0
0.21,0.0,0.79,Positive,256.0,linkedin,0
0.43,0.0,0.57,Positive,166.0,christian,0
0.57,0.0,0.43,Negative,424.0,lord voldemort,0
0.63,0.0,0.37,Negative,416.0,spiders,0
